2021-06-10 12:15:51,311 [Worker-23] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/intuit/karate/karate-apache/$(karate.version)/karate-apache-$(karate.version).pom
2021-06-10 12:15:51,313 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.intuit.karate:karate-apache:jar:$(karate.version) is missing, no dependency information available
2021-06-10 12:15:52,178 [Worker-23] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/intuit/karate/karate-apache/$(karate.version)/karate-apache-$(karate.version).jar
2021-06-10 12:15:52,401 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 12:15:52,404 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-10 12:15:52,405 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 12:15:52,406 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-10 12:16:22,738 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: First-Maven-Project:First-Maven-Project:0.0.1-SNAPSHOT @ C:\Users\HP\Desktop\Selenium-Framework\First-Maven-Project\pom.xml.
2021-06-10 12:16:22,921 [Worker-17] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/intuit/karate/karate-apache/0.9.4s/karate-apache-0.9.4s.pom
2021-06-10 12:16:23,211 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.intuit.karate:karate-apache:jar:0.9.4s is missing, no dependency information available
2021-06-10 12:16:23,214 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.intuit.karate:karate-apache:jar:0.9.4s is missing, no dependency information available
2021-06-10 12:16:24,139 [Worker-17] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/intuit/karate/karate-apache/0.9.4s/karate-apache-0.9.4s.jar
2021-06-10 12:16:24,336 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 12:16:24,338 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-10 12:16:24,340 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 12:16:24,342 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
